occlusion_level,original_caption,generated_caption
0,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it. ," The image depicts a modern urban scene featuring a large, multi-story building with a distinctive architectural design. The building is constructed from a combination of concrete and metal elements, with a prominent, rectangular façade that is supported by a series of vertical beams and"
0,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands. ," The image depicts a skier in mid-air, likely during a downhill skiing event. The skier is wearing a yellow jacket and black pants, and they are holding ski poles in their hands, which are extended upwards. The skier is airborne"
0,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf. ," The image depicts a cozy and well-organized bedroom with a focus on a large bed. The bed is positioned in the center of the image, with a large, rectangular bed frame that is supported by two posts. The bed is covered with a yellow"
0,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it. ," The image depicts a train station scene with a train in the foreground and a red car in the background. The train is a steam locomotive, which is a type of train that uses steam to power its engines. The train is moving along a track,"
0,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor."," The image depicts a bus stop scene with two buses parked side by side. The bus closest to the viewer is a large, yellow and black bus with the number ""1224"" prominently displayed on its front. The bus is parked on a"
0,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof. ," The image depicts a rural scene featuring a small, white sheep standing in a grassy area. The sheep are grazing on a well-maintained green field, which is bordered by a small patch of grass and some rocks. The field is well-main"
0,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room. ," The image depicts a man standing in a room, likely a living room or a casual dining area. He is dressed in casual attire, which includes a maroon t-shirt and brown pants. The man is holding a white Wii remote in his"
0,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.," The image depicts a scene of two cyclists riding bicycles on a city street. The cyclists are positioned in a line, with the cyclist on the left wearing a yellow shirt and black shorts, while the cyclist on the right is wearing a blue shirt"
0,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.," The image depicts a collection of mobile phones placed on a flat surface, likely a table or a countertop. The mobile phones are of different sizes and shapes, with some being sleek and others being more rugged. The background is blurred, focusing attention on"
0,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face."," The image depicts a mannequin wearing a black fedora hat, which is a common fashion accessory in the 1920s and 1930s. The mannequin is positioned in front of a clock, which is"
0,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train. ," The image depicts a train station platform with a train parked on it. The train is a high-speed rail train, indicated by the yellow and white color scheme. The train is positioned on the platform, with the front of the train facing the camera"
0,A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree.," The image depicts a serene scene of a person sitting on an elephant in what appears to be a natural water body. The elephant is positioned in the foreground, with its trunk curled up and its head resting on the person's lap. The person is"
0,There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate. ," The image depicts a plate of food arranged on a wooden table. The plate is white with a floral pattern and features a decorative design on the rim. The plate contains a variety of food items, including:

1. **Tomatoes**: On the"
0,A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass.," The image depicts a close-up view of a white cow, likely a cow of a breed known for its distinctive horns. The cow's head is turned slightly to the right, and its head is positioned towards the upper left part of the image."
0,A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts.," The image depicts a street scene in an urban setting, featuring a skateboarder and a dog on a city street. The skateboarder is positioned on the right side of the image, facing the dog. The skateboarder is wearing a white"
0,There are some portable bathrooms sitting near a railroad track. There are some trains sitting on the track. The portable bathrooms are blue with a white roof and the trains are yellow.," The image depicts a scene of a train station with several train cars and a train. The train is a large yellow locomotive with a distinctive design, featuring a large, rectangular body with a blue roof. The train is parked on a track, and it"
0,A very white bathroom has a very white sink and toilet. The shower curtain that hangs from the ceiling is also white. There is one wall that is all mirrored. The door is made of glass and the faucet is silver. The floor is made of black tile. ," The image depicts a bathroom with a clean and modern aesthetic. The bathroom is equipped with several key features that contribute to its overall cleanliness and functionality. 

### Bathroom Layout and Design

#### Doorway
The door is made of glass and"
0,A man is in a black wetsuit. The man is riding a white surfboard. There is a large wave in the water the man is surfing on. ," The image depicts a surfer riding a wave on a surfboard. The surfer is positioned on the surfboard, which is white and appears to be made of fiberglass or a similar material. The surfer is wearing a black wetsuit,"
0,A pizza is on a brown wooden tray. The tray is placed on the stove top. The pizza has melted cheese and spinach on top of it. The stove is white with black burners.," The image depicts a pizza placed on a round, metallic baking tray placed on a stove. The pizza is round and has a light-colored crust, which is likely spinach or spinach-based, given the presence of spinach leaves and other green vegetables scattered"
0,a flood is occuring. there is a lot of water on the road. the hydrant on the sidewalk is red. the garage doors are red in color . there are some pieces of grass growing.," The image depicts a red fire hydrant placed on a paved surface, which appears to be a sidewalk or a walkway. The fire hydrant is positioned in the foreground, with a slight angle to the image, suggesting that it is facing towards the"
0,there are four airplanes in the sky. There is a small hill under them. There is a field of grass under the airplanes. There are smoke trails coming out from behind the airplanes. ," The image depicts a group of four aircraft flying in a formation in a vast, open field. The sky is clear with a few scattered clouds, suggesting a bright and sunny day. The ground is green, indicating a grassy or open field. The field"
0,There is a large white airplane that is in the sky. There is a silver fence under the airplane. There are light poles on both sides of a fence under the plane. ," The image depicts a large aircraft, likely a commercial jet, suspended from a high-rise structure. The aircraft is positioned in the center of the image, with its nose pointed towards the upper right corner. The aircraft is a large, twin-engine"
