occlusion_level,original_caption,generated_caption
0,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it. , The sky is partly cloudy but still blew. There is a blue and white building at the bottom of the building. There are rows of buildings along the side of the building. There are several people standing in front of the building.  There are
0,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands. , a man is snowboarding down a hill. the man has a bright pink jacket on. the pants of the man are black in color. he has a bright black ski cap on. the sky is bright blue in the background. the board is
0,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf. , A bedroom has a large bed in the middle of it. The bed has a white blanket on it. There is a lamp next to the bed. There are many pillows on the bed.  A white sink is next to the bed.
0,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it. ," A train is driving past  a station platform.  The platform is empty with blue benches and blue garbage cans.  Florescent  lights are on the ceiling.  The train is yellow, red, and yellow.  Its front paws are"
0,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.", A bus is driving down a very large city street. The bus is white and a blue color. Some people are on the sidewalk walking away from the bus. There are two people walking away with bags on them. The bus is also red with
0,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof. , A sheep is standing on a large green grassy yard. The sheep is white and black and has a long neck. There is a rock wall behind the sheep. The sheep has a white tag in it.  The grass is green and green
0,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room. , A man is standing in front of a television. He is holding a purple phone in his hand. He has a baseball cap on. The cap has a wooden headboard that is sitting on top of it. He is wearing a white dress button
0,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.," A man is riding a bicycle. He is wearing a red and black helmet, black and white shirt and black pants. He is riding on a skateboard. Next to him is a red and gray road.  The man is wearing a black"
0,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT., A person is speaking at a laptop computer. The laptop is turned on and the screen is turned on. It is a small cell phone. The person has on a spiky haircut. Behind the laptop is a tree. The branches are green and
0,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.", A sepia shot of a man and boy sitting at a park bench in a park. The man is wearing a dark blazer with a round button down shirt. The boy is wearing a black hat and a black scarf around his neck. The
0,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train. , The train is pulling into the station. The orange and yellow train is on the train tracks. There are people standing on the platform next to the train. There is a fence next to the train.  The train is yellow and green. 
0,A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree., A couple of people stand on a hillside. The woman is wearing a maroon sandals on her feet. She is holding an umbrella. The woman has a purse on her shoulder.  Her hair is darker than the other.  She
0,There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate. ," A glass of clear water is in the plate. Two plates are sitting on top of the glass. The plates are round and black. There is salad and a bowl of salad with many carrots and broccoli. The salad is just strips of lettuce,"
0,A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass., A cow is looking at the camera. The cow is brown and white. The cow has a little black on it's head. The cow has a little yellow on it's head. The little boy has on a yellow shirt. The pants of
0,A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts.," A man is skateboarding outside on a sunny day. He is wearing a gray shirt, gray shorts and plaid shoes. A black and brown dog is walking behind him on the skateboard. A brown building is behind him with many windows on"
0,There are some portable bathrooms sitting near a railroad track. There are some trains sitting on the track. The portable bathrooms are blue with a white roof and the trains are yellow., The sky is partly cloudy. The clouds are light blue and cloudless. There is a train moving on the bridge. The train is yellow and green. There are trees on the other side of the building. The building is made of wood.
0,A very white bathroom has a very white sink and toilet. The shower curtain that hangs from the ceiling is also white. There is one wall that is all mirrored. The door is made of glass and the faucet is silver. The floor is made of black tile. , A white toilet is in a bathroom. The toilet has a lid and seat. On the right side of the toilet is a towel rack with a white towels hanging from it. On the left side of the toilet is a towel rack with a white
0,A man is in a black wetsuit. The man is riding a white surfboard. There is a large wave in the water the man is surfing on. ," A man is surfing in the water. He is bent forward in a low position, and has a surfboard attached to his board.  The surfboard is white with a little black on it.  The man has on a black wet suit"
0,A pizza is on a brown wooden tray. The tray is placed on the stove top. The pizza has melted cheese and spinach on top of it. The stove is white with black burners., A pizza is on a wooden cutting board. The pizza has a thick crust with cheese and mushrooms. The crust is a golden brown. Next to the pizza is a wine glass. The glass has a yellow liquid in it.  A black handle
0,a flood is occuring. there is a lot of water on the road. the hydrant on the sidewalk is red. the garage doors are red in color . there are some pieces of grass growing., A woman is standing on a sidewalk next to a large brick building. She is holding a small red umbrella in her hand. There is a small wooden fence in front of her with a green umbrella over her head. The woman is wearing a green
0,there are four airplanes in the sky. There is a small hill under them. There is a field of grass under the airplanes. There are smoke trails coming out from behind the airplanes. , A plane is flying in the sky on a sunny day.  The plane has two engines on each of its wings.  The sky is blue with trees on it.  A person with blonde hair is walking on the ground.  The ground
0,There is a large white airplane that is in the sky. There is a silver fence under the airplane. There are light poles on both sides of a fence under the plane. , There is a traffic light that is red. On top of the light there are green bushes. There is a traffic light that is orange with white logo and black pants. The sky is cloudy. There is a metal pole that is off in the
0,"A young lady is having a very fun time by herself. This young lady has on very short jean shorts, a turquoise top and some shades on. She is surfing a fake wave on a plastic board and having so much fun.
", A woman is standing on top of a surfboard. The woman is wearing blue jeans and a white shirt. The board is in the air. There are trees behind the woman.  The woman has on a white hat.  She is standing
0,A man is jumping in the air. The man is holding a green frisbee in his hand. There are trees behind the man. , A man in a black shirt and white shorts is jumping in the air while holding a tennis racket. There is a black fence behind the man.  The man is holding a red frisbee in his hand.  The frisbee is
0,A tennis player has just forehand swung to hit a ball. The player has on a light blue shirt and headband. He has on brown nike shorts and white shoes.," A man is playing tennis on a tennis court. He is wearing a short sleeve shirt, shorts and white shoes. The man is holding a racket in his hand swinging it. There is a green tennis ball in front of him. The court is"
0,"There is a vase on a table.  The vase has a white enamel base and three flower holders.  In the vase is an assortment of artificial fall colored leaves and berries.  The colors depicted are different shades of orange.  The table appears to be in the backyard of a house.  Behind the vase is a picket fence, a sidewalk, some monkey grass, and some pink flowers.  On the other side of the fence the eaves of the neighboring house are seen. ", A picture of a vase on a dark colored surface. The vase is orange and yellow and transparent. There are flowers and glass vases on the glass vase. The vase has a tall glass vase base. The vase
0,A person is standing on the beach. They are flying a large yellow and red kite. There are small waves in the water. The person is wearing a black wet suit. ,"  We see an urban park with orange cones in the center of it.  A person in a blue shirt, and black shorts is flying high in the air.  The sky is bright blue and white.  A person in a white shirt"
0,A white plate of food. There is rice under a pile of broccoli. There are onions cut up on top of the broccoli. , A white plate is sitting on a table. There are broccoli florets inside of the plate. There is a broccoli basket in front of the plate. There are broccoli florets inside of the plate.  A person with blonde hair is
